name	len	score	pvalue
NODE_1_length_7849_cov_12.631383	7849	0.4355623722076416	0.08739330765163532
NODE_2_length_7405_cov_9.247619	7405	0.7588217258453369	0.028797492257723392
NODE_3_length_6812_cov_9.753441	6812	0.9983317255973816	0.004399879144950525
NODE_4_length_6300_cov_23.528583	6300	0.7220298051834106	0.03127124405166554
NODE_5_length_6145_cov_4.415107	6145	0.18392008543014526	0.15240954754890854
NODE_6_length_6019_cov_214.869886	6019	0.9232876300811768	0.016013294055442252
NODE_7_length_5658_cov_39.799215	5658	0.9976034164428711	0.004947503587884281
NODE_8_length_4998_cov_111.908760	4998	0.9819249510765076	0.009007477906186268
NODE_9_length_4566_cov_1422.643316	4566	0.5977284908294678	0.042582521338469674
NODE_10_length_4431_cov_56.256399	4431	0.48961979150772095	0.0696616058614699
NODE_11_length_4203_cov_25.872228	4203	0.9700101613998413	0.01083918724979228
NODE_12_length_4178_cov_7.972835	4178	0.4976556897163391	0.06512954150615606
NODE_13_length_3056_cov_19.260913	3056	0.16977450251579285	0.1573570511367928
NODE_14_length_2975_cov_3.834932	2975	0.9875121116638184	0.007912229020318755
NODE_15_length_2839_cov_200.830819	2839	0.8743430376052856	0.019827781554498075
NODE_16_length_2800_cov_7.117304	2800	0.6850415468215942	0.03433038749150238
NODE_17_length_2770_cov_34.219890	2770	0.46292245388031006	0.08012312108165269
NODE_18_length_2701_cov_2.885110	2701	0.06604138016700745	0.21625500415439233
NODE_19_length_2648_cov_4.823756	2648	0.08545400202274323	0.1991842284160435
NODE_20_length_2592_cov_6.778873	2592	0.005860269069671631	0.38118437948485534
NODE_21_length_2581_cov_4.758907	2581	0.16337601840496063	0.15952866530704737
NODE_22_length_2526_cov_5.067989	2526	0.9318887591362	0.015427902409547549
NODE_23_length_2414_cov_4.039847	2414	0.014284959062933922	0.3180376161341491
NODE_24_length_2126_cov_45.492999	2126	0.7253423929214478	0.03104464083389984
NODE_25_length_1944_cov_2.656432	1944	0.03928207978606224	0.2504532064355314
NODE_26_length_1902_cov_9.661613	1902	0.12414424121379852	0.17663720824835713
NODE_27_length_1867_cov_4.766556	1867	0.7142436504364014	0.031932170103482135
NODE_28_length_1775_cov_8.197674	1775	0.7833858728408813	0.026625878087468843
NODE_29_length_1772_cov_11.685498	1772	0.06564848870038986	0.2166326761840018
NODE_30_length_1739_cov_26.865202	1739	0.966424822807312	0.01148122970012841
NODE_31_length_1710_cov_8.654381	1710	0.6718400716781616	0.03536898557292847
NODE_32_length_1673_cov_2.594561	1673	0.21295857429504395	0.14259007477906185
NODE_33_length_1652_cov_7.708829	1652	0.09630616754293442	0.1918196238386585
NODE_34_length_1652_cov_2.546650	1652	0.09391142427921295	0.1932358939496941
NODE_35_length_1651_cov_43.348371	1651	0.009697582572698593	0.34649520356522395
NODE_36_length_1604_cov_17.575855	1604	0.8732298016548157	0.019865548757459023
NODE_37_length_1577_cov_6.103811	1577	0.04597540199756622	0.2401427600271924
NODE_38_length_1567_cov_2.396825	1567	6.181099888635799e-05	0.6875330463025908
NODE_39_length_1566_cov_7.968895	1566	0.3345816135406494	0.11135659793035728
NODE_40_length_1532_cov_2.926202	1532	0.029725342988967896	0.2684115114434625
NODE_41_length_1453_cov_708.557225	1453	0.006370468996465206	0.37516051061258404
NODE_42_length_1379_cov_3.368580	1379	0.05005848780274391	0.23426995996676486
NODE_43_length_1358_cov_42.823484	1358	0.94715815782547	0.014049399501472921
NODE_44_length_1307_cov_2.653355	1307	0.050961099565029144	0.23315582747941688
NODE_45_length_1273_cov_2.404762	1273	0.18584905564785004	0.15182415590301382
NODE_46_length_1261_cov_2.590381	1261	0.9994429349899292	0.0029647254324344737
NODE_47_length_1244_cov_3.312868	1244	0.021046429872512817	0.29105294961855127
NODE_48_length_1234_cov_4.064461	1234	2.9551603802246973e-05	0.7281516730870912
NODE_49_length_1219_cov_3.062715	1219	0.4851592779159546	0.07173880202432208
NODE_50_length_1212_cov_4.050130	1212	2.3284948838409036e-05	0.7410869401012161
NODE_51_length_1201_cov_2.409250	1201	2.523461625969503e-05	0.7368003625651485
NODE_52_length_1167_cov_2.207734	1167	0.6691139936447144	0.035671123196616056
NODE_53_length_1093_cov_3.118497	1093	1.4673033547296654e-05	0.7638605634866682
NODE_54_length_1082_cov_2.233690	1082	0.8455972671508789	0.021867210514389303
NODE_55_length_1065_cov_4.147525	1065	0.9404457807540894	0.014804743560691894
NODE_56_length_1059_cov_1.931275	1059	0.8705089092254639	0.02011103557670519
NODE_57_length_1056_cov_2.695305	1056	0.8203011751174927	0.02371780345947579
NODE_58_length_1038_cov_4.270600	1038	0.0006670555449090898	0.5365775360676788
NODE_59_length_1017_cov_2.416840	1017	0.062223080545663834	0.22027721126973338
